symbol,name,atomic_mass,electronegativity,type
H,Hydrogen,1.008,2.2,nonmetal
He,Helium,4.0026,,nonmetal
Li,Lithium,6.94,0.98,metal
Be,Beryllium,9.0122,1.57,metal
B,Boron,10.81,2.04,metalloid
C,Carbon,12.011,2.55,nonmetal
N,Nitrogen,14.007,3.04,nonmetal
O,Oxygen,15.999,3.44,nonmetal
F,Fluorine,18.998,3.98,nonmetal
Ne,Neon,20.18,,nonmetal
Na,Sodium,22.99,0.93,metal
Mg,Magnesium,24.305,1.31,metal
Al,Aluminium,26.982,1.61,metal
Si,Silicon,28.085,1.9,metalloid
P,Phosphorus,30.974,2.19,nonmetal
S,Sulfur,32.06,2.58,nonmetal
Cl,Chlorine,35.45,3.16,nonmetal
Ar,Argon,39.948,,nonmetal
K,Potassium,39.098,0.82,metal
Ca,Calcium,40.078,1.0,metal
Sc,Scandium,44.956,1.36,metal
Ti,Titanium,47.867,1.54,metal
V,Vanadium,50.942,1.63,metal
Cr,Chromium,51.996,1.66,metal
Mn,Manganese,54.938,1.55,metal
Fe,Iron,55.845,1.83,metal
Co,Cobalt,58.933,1.88,metal
Ni,Nickel,58.693,1.91,metal
Cu,Copper,63.546,1.9,metal
Zn,Zinc,65.38,1.65,metal
Ga,Gallium,69.723,1.81,metal
Ge,Germanium,72.63,2.01,metalloid
As,Arsenic,74.922,2.18,metalloid
Se,Selenium,78.971,2.55,nonmetal
Br,Bromine,79.904,2.96,nonmetal
Kr,Krypton,83.798,3.0,nonmetal
Rb,Rubidium,85.468,0.82,metal
Sr,Strontium,87.62,0.95,metal
Y,Yttrium,88.906,1.22,metal
Zr,Zirconium,91.224,1.33,metal
Nb,Niobium,92.906,1.6,metal
Mo,Molybdenum,95.95,2.16,metal
Tc,Technetium,98.0,1.9,metal
Ru,Ruthenium,101.07,2.2,metal
Rh,Rhodium,102.91,2.28,metal
Pd,Palladium,106.42,2.2,metal
Ag,Silver,107.87,1.93,metal
Cd,Cadmium,112.41,1.69,metal
In,Indium,114.82,1.78,metal
Sn,Tin,118.71,1.96,metal
Sb,Antimony,121.76,2.05,metalloid
Te,Tellurium,127.6,2.1,metalloid
I,Iodine,126.9,2.66,nonmetal
Xe,Xenon,131.29,2.6,nonmetal
Cs,Cesium,132.91,0.79,metal
Ba,Barium,137.33,0.89,metal
La,Lanthanum,138.91,1.1,metal
Hf,Hafnium,178.49,1.3,metal
Ta,Tantalum,180.95,1.5,metal
W,Tungsten,183.84,2.36,metal
Re,Rhenium,186.21,1.9,metal
Os,Osmium,190.23,2.2,metal
Ir,Iridium,192.22,2.2,metal
Pt,Platinum,195.08,2.28,metal
Au,Gold,196.97,2.54,metal
Hg,Mercury,200.59,2.0,metal
Tl,Thallium,204.38,1.62,metal
Pb,Lead,207.2,2.33,metal
Bi,Bismuth,208.98,2.02,metal
Po,Polonium,209.0,2.0,metalloid
At,Astatine,210.0,2.2,metalloid
Rn,Radon,222.0,2.2,nonmetal
